text,author
"“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”",Robert A. Heinlein
"“We don't see things as they are, we see them as we are.”",Anaïs Nin
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley
“Sometimes the questions are complicated and the answers are simple.”,Dr. Seuss
"“You love me. Real or not real?""I tell him, ""Real.”","Suzanne Collins,"
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis
“Never trust anyone who has not brought a book with them.”,"Lemony Snicket,"
“We read to know we're not alone.”,"William Nicholson,"
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
"“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”","John Green,"
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”","J.K. Rowling,"
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”","Dr. Seuss,"
“I'm not afraid of death; I just don't want to be there when it happens.”,Woody Allen
"“If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”",Oscar Wilde
"“To the well-organized mind, death is but the next great adventure.”","J.K. Rowling,"
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all—in which case, you fail by default.”",J.K. Rowling
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein
"“I'm in love with you,"" he said quietly.""Augustus,"" I said.""I am,"" he said. He was staring at me, and I could see the corners of his eyes crinkling. ""I'm in love with you, and I'm not in the business of denying myself the simple pleasure of saying true things. I'm in love with you, and I know that love is just a shout into the void, and that oblivion is inevitable, and that we're all doomed and that there will come a day when all our labor has been returned to dust, and I know the sun will swallow the only earth we'll ever have, and I am in love with you.”","John Green,"
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein
"“I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”","Nicholas Sparks,"
"“Whenever I feel the need to exercise, I lie down until it goes away.”",Paul   Terry
"“Have you fallen in love with the wrong person yet?'Jace said, ""Unfortunately, Lady of the Haven, my one true love remains myself.""...""At least,"" she said, ""you don't have to worry about rejection, Jace Wayland.""""Not necessarily. I turn myself down occasionally, just to keep it interesting.”","Cassandra Clare,"
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley
“Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.”,"Markus Zusak,"
"“Love looks not with the eyes, but with the mind; And therefore is wing'd Cupid painted blind. Nor hath love's mind of any judgment taste; Wings and no eyes figure unheedy haste: And therefore is love said to be a child, Because in choice he is so oft beguil'd.”","William Shakespeare,"
“You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”,"John Green,"
"“Do what you can, with what you have, where you are.”",Theodore Roosevelt
“Folks are usually about as happy as they make their minds up to be.”,Abraham Lincoln
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”","Dr. Seuss,"
“There is no friend as loyal as a book.”,Ernest Hemingway
“The story so far:In the beginning the Universe was created.This has made a lot of people very angry and been widely regarded as a bad move.”,"Douglas Adams,"
"“Success is not final, failure is not fatal: it is the courage to continue that counts.”",Winston S. Churchill
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley
"“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”",Groucho Marx
"“Love is like the wind, you can't see it but you can feel it.”","Nicholas Sparks,"
"“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”","Stephen Chbosky,"
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","Jane Austen,"
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa
"“Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”",Shel Silverstein
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein
"“If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”","Joan Powers,"
"“People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life.A true soul mate is probably the most important person you'll ever meet, because they tear down your walls and smack you awake. But to live with a soul mate forever? Nah. Too painful. Soul mates, they come into your life just to reveal another layer of yourself to you, and then leave.A soul mates purpose is to shake you up, tear apart your ego a little bit, show you your obstacles and addictions, break your heart open so new light can get in, make you so desperate and out of control that you have to transform your life, then introduce you to your spiritual master...”","Elizabeth Gilbert,"
"“You don't love someone because they're perfect, you love them in spite of the fact that they're not.”","Jodi Picoult,"
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","J.D. Salinger,"
"“Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”",Anais Nin
"“Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”",John Green
"“It matters not what someone is born, but what they grow to be.”","J.K. Rowling,"
“Not all those who wander are lost.”,"J.R.R. Tolkien,"
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe
"“We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.”","Robert Fulghum,"
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas-fils
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson
“It is what you read when you don't have to that determines what you will be when you can't help it.”,Oscar Wilde
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","Terry Pratchett,"
“Do one thing every day that scares you.”,Eleanor Roosevelt
"“I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”","Virginia Woolf,"
"“You don’thavea soul, Doctor. Youarea soul. Youhavea body, temporarily.”","Walter M. Miller Jr.,"
“Some infinities are bigger than other infinities.”,"John Green,"
"“One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.”","Cassandra Clare,"
“Reality continues to ruin my life.”,"Bill Watterson,"
“Time you enjoy wasting is not wasted time.”,"Marthe Troly-Curtin,"
"“I wish it need not have happened in my time,"" said Frodo.""So do I,"" said Gandalf, ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.”","J.R.R. Tolkien,"
“Things change. And friends leave. Life doesn't stop for anybody.”,"Stephen Chbosky,"
"“If there's a book that you want to read, but it hasn't been written yet, then you must write it.”",Toni Morrison
"“There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”","Cassandra Clare,"
